"HAFAS_ID";"RMV_ID";"DHID";"HST_NAME";"NAME_FAHRPLAN";"X_IPL_WERT";"Y_IPL_WERT";"X_WGS84";"Y_WGS84";"LNO";"IST_BAHNHOF";"GUELTIG_AB";"GUELTIG_BIS";"VERBUND_1_ISTGLEICH_RMV";"LAND";"RP";"LANDKREIS";"GEMEINDENAME";"ORTSTEILNAME";"AGS_LAND";"AGS_RP";"AGS_LK";"AGS_G";"AGS_OT"
"3000001";"1";"";"Hauptwache";"Frankfurt (Main) Hauptwache";"3477135";"5553132";"8,67933907525965";"50,1139547715632";"TRAFFIQ";"1";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Innenstadt";"06";"4";"12";"000";"802"
"3000002";"2";"";"Römer/Paulskirche";"Frankfurt (Main) Römer/Paulskirche";"3477329";"5552790";"8,68207172670972";"50,110887613661";"TRAFFIQ";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Frankfurt-Altstadt";"06";"4";"12";"000";"801"
"3000003";"3";"";"Dom/Römer";"Frankfurt (Main) Dom/Römer";"3477477";"5552785";"8,68414103383502";"50,1108483203001";"TRAFFIQ";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Frankfurt-Altstadt";"06";"4";"12";"000";"801"
"3000004";"4";"";"Willy-Brandt-Platz";"Frankfurt (Main) Willy-Brandt-Platz";"3476821";"5552605";"8,67498126960943";"50,1092047378413";"TRAFFIQ";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Innenstadt";"06";"4";"12";"000";"802"
"3000007";"7";"";"Weser-/Münchener Straße";"Frankfurt (Main) Weser-/Münchener Straße";"3476488";"5552467";"8,67033469623856";"50,1079509502732";"TRAFFIQ";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Bahnhofsviertel";"06";"4";"12";"000";"803"
"3000008";"8";"";"Hauptbahnhof/Münchener Straße";"Frankfurt (Main) Hauptbahnhof/Münchener Straße";"3476197";"5552352";"8,66627402629779";"50,1069054422071";"TRAFFIQ";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Bahnhofsviertel";"06";"4";"12";"000";"803"
"3000009";"9";"";"Platz der Republik";"Frankfurt (Main) Platz der Republik";"3475840";"5552606";"8,66126752643712";"50,1091744601161";"TRAFFIQ";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Gallusviertel";"06";"4";"12";"000";"811"
"3000010";"10";"";"Hauptbahnhof";"Frankfurt (Main) Hauptbahnhof";"3475942";"5552342";"8,6627101117679";"50,1068052223993";"TRAFFIQ";"1";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Gallusviertel";"06";"4";"12";"000";"811"
"3000011";"11";"";"Taunusanlage";"Frankfurt (Main) Taunusanlage";"3476382";"5553069";"8,66881553792571";"50,1133587892226";"TRAFFIQ";"1";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Westend-Süd";"06";"4";"12";"000";"804"
"3000013";"13";"";"Roßmarkt";"Frankfurt (Main) Roßmarkt";"3476901";"5552973";"8,67607725591789";"50,1125162417903";"TRAFFIQ";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Innenstadt";"06";"4";"12";"000";"802"
"3000015";"15";"";"Heilbronner Straße";"Frankfurt (Main) Heilbronner Straße";"3475322";"5551781";"8,65407978346203";"50,1017362127467";"TRAFFIQ";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Gutleutviertel";"06";"4";"12";"000";"810"
"3000016";"16";"";"Gutleut-/Heilbronner Straße";"Frankfurt (Main) Gutleut-/Heilbronner Straße";"3475337";"5551561";"8,65430369851116";"50,0997590074881";"TRAFFIQ";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Gutleutviertel";"06";"4";"12";"000";"810"
"3000017";"17";"";"Hafenstraße";"Frankfurt (Main) Hafenstraße";"3475555";"5551935";"8,65732655402195";"50,1031303682089";"TRAFFIQ";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Gutleutviertel";"06";"4";"12";"000";"810"
"3000018";"18";"";"Güterplatz";"Frankfurt (Main) Güterplatz";"3475447";"5552424";"8,65578542296499";"50,1075220709824";"TRAFFIQ";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Gallusviertel";"06";"4";"12";"000";"811"
"3000019";"19";"";"Speyerer Straße";"Frankfurt (Main) Speyerer Straße";"3475097";"5552207";"8,65090705550914";"50,1055565806682";"TRAFFIQ";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Gallusviertel";"06";"4";"12";"000";"811"
"3000025";"25";"";"Baseler Platz";"Frankfurt (Main) Baseler Platz";"3476091";"5552026";"8,66481278381777";"50,1039703798119";"TRAFFIQ";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Gutleutviertel";"06";"4";"12";"000";"810"
"3000028";"28";"";"Wasserweg";"Frankfurt (Main) Wasserweg";"3478240";"5552178";"8,69484236990598";"50,1054198714898";"TRAFFIQ";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Sachsenhausen-Nord";"06";"4";"12";"000";"813"
"3000029";"29";"";"Heister-/Siemensstraße";"Frankfurt (Main) Heister-/Siemensstraße";"3478283";"5552028";"8,69545200143716";"50,104072927175";"TRAFFIQ";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Sachsenhausen-Nord";"06";"4";"12";"000";"813"
"3000101";"101";"";"Galluswarte";"Frankfurt (Main) Galluswarte";"3474643";"5552057";"8,64457095029969";"50,1041887756618";"TRAFFIQ";"1";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Gallusviertel";"06";"4";"12";"000";"811"
"3000102";"102";"";"Schwalbacher Straße";"Frankfurt (Main) Schwalbacher Straße";"3474052";"5551850";"8,63632419182301";"50,1023021964329";"TRAFFIQ";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Gallusviertel";"06";"4";"12";"000";"811"
"3000103";"103";"";"Kriegkstraße";"Frankfurt (Main) Kriegkstraße";"3474310";"5551738";"8,63993788000033";"50,1013065604564";"TRAFFIQ";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Gallusviertel";"06";"4";"12";"000";"811"
"3000104";"104";"";"Galluspark";"Frankfurt (Main) Galluspark";"3474123";"5551625";"8,63733187324867";"50,1002825281392";"TRAFFIQ";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Gallusviertel";"06";"4";"12";"000";"811"
"3000105";"105";"";"Ordnungsamt";"Frankfurt (Main) Ordnungsamt";"3473863";"5551464";"8,63370900023933";"50,0988236918969";"TRAFFIQ";"0";"14.06.2009";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Gallusviertel";"06";"4";"12";"000";"811"
"3000106";"106";"";"Rebstöcker Straße";"Frankfurt (Main) Rebstöcker Straße";"3473511";"5551771";"8,62876801025902";"50,1015680070648";"TRAFFIQ";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Gallusviertel";"06";"4";"12";"000";"811"
"3000107";"107";"";"Wickerer Straße";"Frankfurt (Main) Wickerer Straße";"3473074";"5551706";"8,62266465787426";"50,1009639285618";"TRAFFIQ";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Gallusviertel";"06";"4";"12";"000";"811"
"3000108";"108";"";"Mönchhofstraße";"Frankfurt (Main) Mönchhofstraße";"3472713";"5551653";"8,61762282532929";"50,1004709194071";"TRAFFIQ";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Gallusviertel";"06";"4";"12";"000";"811"
"3000109";"109";"";"Waldschulstraße";"Frankfurt (Main) Waldschulstraße";"3471699";"5551635";"8,60345183566588";"50,1002614848699";"TRAFFIQ";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Griesheim";"06";"4";"12";"000";"819"
"3000110";"110";"";"Griesheim Bahnhof";"Frankfurt (Main) Griesheim Bahnhof";"3471912";"5550934";"8,60648055263408";"50,0939695718734";"TRAFFIQ";"1";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Griesheim";"06";"4";"12";"000";"819"
"3000111";"111";"";"Linnegraben";"Frankfurt (Main) Linnegraben";"3471272";"5551630";"8,59748421304797";"50,1001959669477";"TRAFFIQ";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Griesheim";"06";"4";"12";"000";"819"
"3000112";"112";"";"Jägerallee";"Frankfurt (Main) Jägerallee";"3470779";"5551628";"8,59059392747985";"50,1001538587373";"TRAFFIQ";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Griesheim";"06";"4";"12";"000";"819"
"3000113";"113";"";"Pforzheimer Straße";"Frankfurt (Main) Pforzheimer Straße";"3476013";"5552109";"8,66371728469094";"50,1047134035039";"TRAFFIQ";"0";"01.01.1995";"";"1";"Hessen";"Darmstadt";"Stadt Frankfurt a.M";"Frankfurt a.M.";"Gutleutviertel";"06";"4";"12";"000";"810"
